2606080947_alldets ij = 1192.0,451.0 = ScoX1+   0.5,  -0.4 ra,dec = 211.86,-39.85   29.9 σ for 579 s at 79 cps 4 dets
2606081030_alldets ij = 1690.0,276.0 = ScoX1+  -0.7,   0.7 ra,dec = 276.98, 12.02   22.7 σ for 595 s at 47 cps 3 dets
2606081123_alldets ij = 1163.0,522.0 = ScoX1+  -0.3,  -0.2 ra,dec = 217.28,-42.00   24.6 σ for 578 s at 22 cps 3 dets
2606081206_alldets ij = 1715.0,208.0 = ScoX1+  -0.9,  -0.3 ra,dec = 276.69, 15.52    7.0 σ for 582 s at 143 cps 3 dets
2606081930_alldets ij = 1236.0,368.0 = ScoX1+  -0.7,   0.3 ra,dec = 206.01,-35.49   19.3 σ for 548 s at 20 cps 1 dets
2606090550_alldets ij = 1762.0, 87.0 = ScoX1+  -0.6,   0.1 ra,dec = 276.18, 21.11    9.4 σ for 563 s at 33 cps 3 dets
2606090620_alldets ij = 963.0,1338.0 = ScoX1+   0.4,   0.5 ra,dec = 259.33, -5.53    7.0 σ for 291 s at 418 cps 3 dets
2606090640_alldets ij = 1048.0,839.0 = ScoX1+  -0.2,   0.3 ra,dec = 244.25,-42.16   16.3 σ for 545 s at 126 cps 3 dets
2606090649_alldets ij = 1267.0,328.0 = ScoX1+  -0.3,  -0.5 ra,dec = 203.55,-32.44   11.4 σ for 563 s at 77 cps 3 dets
2606101002_alldets ij = 966.0,1046.0 = ScoX1+   0.2,  -0.3 ra,dec = 258.36,-34.66    5.1 σ for 192 s at 668 cps 3 dets
2606101013_alldets ij = 1190.0,534.0 = ScoX1+  -0.1,  -0.3 ra,dec = 215.64,-39.11   31.2 σ for 579 s at 55 cps 3 dets
2606101148_alldets ij = 1157.0,605.0 = ScoX1+  -0.1,  -0.1 ra,dec = 221.20,-41.05   26.6 σ for 582 s at 36 cps 2 dets
2606101324_alldets ij = 1131.0,664.0 = ScoX1+   0.1,  -0.1 ra,dec = 226.16,-42.08   12.4 σ for 577 s at 30 cps 2 dets
2606101506_alldets ij = 1272.0,385.0 = ScoX1+  -0.0,   0.3 ra,dec = 205.85,-32.23    8.3 σ for 547 s at 18 cps 3 dets
2606110525_alldets ij = 962.0,1048.0 = ScoX1+  -0.3,   0.3 ra,dec = 257.74,-35.09    7.8 σ for 329 s at 390 cps 3 dets
2606110535_alldets ij = 1193.0,560.0 = ScoX1+   0.1,  -0.1 ra,dec = 216.61,-38.54   17.0 σ for 548 s at 128 cps 3 dets
2606110933_alldets ij = 1694.0,217.0 = ScoX1+  -0.4,   0.7 ra,dec = 279.67, 11.65   11.1 σ for 580 s at 114 cps 3 dets
2606111108_alldets ij = 1730.0,143.0 = ScoX1+  -0.2,   0.2 ra,dec = 279.65, 15.30    8.2 σ for 579 s at 212 cps 3 dets
2606111654_alldets ij = 1229.0,513.0 = ScoX1+   0.5,   0.1 ra,dec = 212.74,-35.85   31.9 σ for 548 s at 75 cps 4 dets
2606112145_alldets ij = 1246.0,491.0 = ScoX1+   0.3,  -0.0 ra,dec = 211.16,-34.50   19.0 σ for 551 s at 24 cps 2 dets
2606111524_alldets ij = 1441.0,281.0 = ScoX1+   0.3,   0.1 ra,dec = 201.52,-16.07   23.3 σ for 270 s at 37 cps 4 dets
2606111654_alldets ij = 1229.0,513.0 = ScoX1+   0.5,   0.1 ra,dec = 212.74,-35.85   31.9 σ for 548 s at 75 cps 4 dets
2606112145_alldets ij = 1246.0,491.0 = ScoX1+   0.3,  -0.0 ra,dec = 211.16,-34.50   19.0 σ for 551 s at 24 cps 2 dets
2606121038_alldets ij = 1187.0,618.0 = ScoX1+  -0.2,   0.3 ra,dec = 219.50,-38.25   26.2 σ for 578 s at 56 cps 4 dets
2606121213_alldets ij = 1151.0,687.0 = ScoX1+   0.3,  -0.1 ra,dec = 225.02,-39.93   23.9 σ for 579 s at 32 cps 4 dets
2606121326_alldets ij = 829.0,1361.0 = ScoX1+   0.2,  -0.5 ra,dec = 263.14, -2.04    5.3 σ for 145 s at 264 cps 4 dets
2606121346_alldets ij = 1036.0,908.0 = ScoX1+   0.8,  -0.2 ra,dec = 244.76,-40.22    6.0 σ for 529 s at 244 cps 4 dets
2606121527_alldets ij = 1128.0,734.0 = ScoX1+   0.5,  -0.1 ra,dec = 228.88,-40.56    7.0 σ for 525 s at 153 cps 4 dets
2606121707_alldets ij = 1231.0,553.0 = ScoX1+   0.7,   0.3 ra,dec = 214.46,-35.43   21.5 σ for 549 s at 23 cps 4 dets
2606121847_alldets ij = 1348.0,365.0 = ScoX1+   0.9,  -0.1 ra,dec = 204.20,-25.98    6.5 σ for 551 s at 11 cps 4 dets
2606121948_alldets ij = 979.0,1194.0 = ScoX1+   0.8,   0.4 ra,dec = 259.73, -3.88    8.2 σ for 366 s at 342 cps 4 dets
2606130239_alldets ij = 982.0,1016.0 = ScoX1+  -0.2,   0.1 ra,dec = 253.03,-37.30    7.2 σ for 394 s at 320 cps 3 dets
2606130730_alldets ij = 994.0,997.0 = ScoX1+   0.1,  -0.3 ra,dec = 251.19,-37.96    8.3 σ for 549 s at 177 cps 4 dets
2606130740_alldets ij = 1288.0,484.0 = ScoX1+   0.4,  -0.2 ra,dec = 209.81,-31.11   20.4 σ for 549 s at 40 cps 4 dets
2606130915_alldets ij = 1227.0,587.0 = ScoX1+   0.5,   0.3 ra,dec = 216.14,-35.46   20.2 σ for 583 s at 15 cps 4 dets
2606131051_alldets ij = 1186.0,658.0 = ScoX1+   0.2,  -0.2 ra,dec = 221.33,-37.77   19.6 σ for 579 s at 17 cps 4 dets
2606131226_alldets ij = 1148.0,727.0 = ScoX1+   0.6,   0.1 ra,dec = 226.84,-39.31   11.2 σ for 563 s at 230 cps 4 dets
2606120547_alldets ij = 1176.0,631.0 = ScoX1+   0.4,   0.3 ra,dec = 220.44,-39.32    8.3 σ for 549 s at 52 cps 3 dets
2606131650_alldets ij = 858.0,1288.0 = ScoX1+   1.6,  -0.1 ra,dec = 261.97, -1.13   12.6 σ for 258 s at 360 cps 4 dets
2606131720_alldets ij = 1233.0,591.0 = ScoX1+   0.8,  -0.0 ra,dec = 215.71,-35.28   22.0 σ for 550 s at 24 cps 4 dets
2606132211_alldets ij = 1252.0,568.0 = ScoX1+   0.1,   0.4 ra,dec = 214.00,-33.92   19.3 σ for 551 s at 24 cps 4 dets
2606140252_alldets ij = 967.0,1055.0 = ScoX1+   0.2,   0.3 ra,dec = 254.55,-36.59    5.2 σ for 341 s at 378 cps 4 dets
2606140432_alldets ij = 1066.0,888.0 = ScoX1+   0.4,   0.2 ra,dec = 239.85,-40.16    5.1 σ for 551 s at 133 cps 4 dets
2606140613_alldets ij = 1173.0,709.0 = ScoX1+  -0.3,   0.4 ra,dec = 223.94,-38.18   18.8 σ for 549 s at 18 cps 4 dets
2606140928_alldets ij = 1227.0,627.0 = ScoX1+  -0.2,   0.0 ra,dec = 217.56,-35.36   16.7 σ for 578 s at 21 cps 2 dets
